City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Mataura,NZ,56.48,clear sky,-46.1927,168.8643,Ellie's Villa
1,Jaisalmer,IN,81.09,clear sky,26.9147,70.9181,Hotel Fifu
2,Ushuaia,AR,49.66,scattered clouds,-54.8,-68.3,Albatross Hotel
3,Rikitea,PF,72.25,clear sky,-23.1203,-134.9692,People ThankYou
4,Awka,NG,71.47,overcast clouds,6.2101,7.0741,Best Western Meloch Hotel
5,Piuma,BR,73.67,clear sky,-20.8378,-40.7219,Piúma Praia Hotel
6,Lebu,CL,54.55,clear sky,-37.6167,-73.65,Hostal Las Lilas
7,Kapit,MY,71.78,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
8,Nicoya,CR,79.02,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
9,Uden,NL,55.53,overcast clouds,51.6568,5.6126,Fletcher Hotel-Restaurant Teugel Uden-Veghel
10,Gambela,ET,74.46,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
11,Steamboat Springs,US,67.33,clear sky,40.485,-106.8317,Steamboat Grand
13,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
14,Port Blair,IN,79.56,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Hobart,AU,52.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
16,Lazaro Cardenas,MX,83.98,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
17,Georgetown,MY,80.24,scattered clouds,5.4112,100.3354,Cititel Penang
19,Yellowknife,CA,36.12,broken clouds,62.456,-114.3525,The Explorer Hotel
20,Sitka,US,49.89,broken clouds,57.0531,-135.33,Westmark Sitka
22,Havoysund,NO,43.03,scattered clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
23,Eureka,US,60.26,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
24,Chlorakas,CY,68.88,scattered clouds,34.8042,32.4083,Elysium Hotel
25,Samana,DO,86.22,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
26,La Ronge,CA,48.42,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
