City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-07-14 03:34:06,-34.5322,20.0403,58.26,77,85,13.71
1,Butaritari,KI,2022-07-14 03:34:06,3.0707,172.7902,81.99,79,16,18.1
2,Kongwa,TZ,2022-07-14 03:34:07,-6.2,36.4167,56.05,84,25,3.09
3,Ancud,CL,2022-07-14 03:34:07,-41.8697,-73.8203,41.23,90,100,9.89
4,Codrington,AU,2022-07-14 03:34:08,-38.2667,141.9667,54.91,66,99,4.68
5,Barrow,US,2022-07-14 03:34:08,71.2906,-156.7887,42.82,70,100,16.11
6,Srednekolymsk,RU,2022-07-14 03:34:09,67.45,153.6833,62.38,54,54,13.71
7,Rikitea,PF,2022-07-14 03:34:09,-23.1203,-134.9692,71.26,78,94,7.67
8,Provideniya,RU,2022-07-14 03:34:10,64.3833,-173.3,59.11,72,40,8.95
9,Port Alfred,ZA,2022-07-14 03:33:56,-33.5906,26.891,57.97,50,10,14.03
10,Dikson,RU,2022-07-14 03:33:58,73.5069,80.5464,44.44,71,99,8.01
11,Busselton,AU,2022-07-14 03:30:30,-33.65,115.3333,63.73,76,73,20.92
12,Mahebourg,MU,2022-07-14 03:34:11,-20.4081,57.7,70.09,73,75,11.5
13,Flin Flon,CA,2022-07-14 03:34:11,54.7682,-101.865,71.19,66,99,12.26
14,New Norfolk,AU,2022-07-14 03:34:12,-42.7826,147.0587,55.92,80,100,3.09
15,Lock Haven,US,2022-07-14 03:34:12,41.137,-77.4469,75.69,88,55,1.79
16,Ushuaia,AR,2022-07-14 03:30:11,-54.8,-68.3,33.46,75,20,4.61
17,Oranjemund,NA,2022-07-14 03:34:13,-28.55,16.4333,51.46,81,0,7.4
18,Thompson,CA,2022-07-14 03:30:12,55.7435,-97.8558,73.56,49,40,4.61
19,Mount Gambier,AU,2022-07-14 03:31:29,-37.8333,140.7667,53.51,87,100,11.5
20,Ahipara,NZ,2022-07-14 03:34:14,-35.1667,173.1667,55.96,96,100,16.6
21,Hilo,US,2022-07-14 03:31:38,19.7297,-155.09,81.28,97,100,8.05
22,Hurricane,US,2022-07-14 03:34:15,37.1753,-113.2899,97.27,40,62,6.2
23,Graham,US,2022-07-14 03:31:14,47.0529,-122.2943,73.17,56,0,0.0
24,Chokurdakh,RU,2022-07-14 03:34:15,70.6333,147.9167,58.55,37,7,9.6
