City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Cherskiy,RU,68.75,161.3,4.71,96,100,6.64,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,81.0,75,16,16.35,few clouds
2,Xingyi,CN,24.1877,102.817,51.53,95,49,3.04,scattered clouds
3,Kavieng,PG,-2.5744,150.7967,82.31,76,15,12.44,light rain
4,Ushuaia,AR,-54.8,-68.3,51.46,62,40,9.22,scattered clouds
5,Albany,US,42.6001,-73.9662,63.88,50,0,4.45,clear sky
6,Jhudo,PK,24.964,69.2968,79.21,30,0,9.19,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,53.71,58,0,34.52,clear sky
8,Hilo,US,19.7297,-155.09,89.28,72,20,9.22,few clouds
9,Aquiraz,BR,-3.9014,-38.3911,82.49,79,11,12.57,few clouds
10,Mackenzie,CA,55.2999,-123.1698,62.82,42,0,2.3,clear sky
11,Pevek,RU,69.7008,170.3133,13.14,90,100,10.51,overcast clouds
12,Bagotville,AU,-28.9833,153.4167,63.86,79,2,9.22,clear sky
13,Westport,US,41.1415,-73.3579,69.82,68,0,9.22,clear sky
14,Nanortalik,GL,60.1432,-45.2371,31.87,68,4,10.65,clear sky
15,San Quintin,MX,30.4833,-115.95,69.93,66,11,11.23,few clouds
16,Norman Wells,CA,65.282,-126.8329,26.64,68,20,0.0,few clouds
17,Cambridge,CA,43.3601,-80.3127,57.83,35,75,16.11,broken clouds
18,Mayya,RU,61.7333,130.2811,29.52,97,100,3.09,overcast clouds
19,Bonthe,SL,7.5264,-12.505,77.83,86,93,4.99,overcast clouds
20,Busselton,AU,-33.65,115.3333,47.07,92,3,7.05,clear sky
21,Qasigiannguit,GL,68.8193,-51.1922,26.85,75,100,4.36,overcast clouds
22,Thompson,CA,55.7435,-97.8558,33.96,100,100,14.97,mist
23,Hermanus,ZA,-34.4187,19.2345,58.8,82,100,15.59,overcast clouds
24,Husavik,IS,66.0449,-17.3389,35.96,95,100,20.89,overcast clouds
25,Shu,KZ,43.5983,73.7614,59.61,14,95,5.53,overcast clouds
26,Cacahuatepec,MX,16.8861,-99.6106,83.26,84,38,4.56,moderate rain
27,Vaini,TO,-21.2,-175.2,78.96,83,20,14.97,few clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,74,40,13.8,scattered clouds
29,Carnarvon,AU,-24.8667,113.6333,65.03,63,2,18.72,clear sky
30,Namibe,AO,-15.1961,12.1522,67.73,83,84,7.94,broken clouds
31,Mataura,NZ,-46.1927,168.8643,56.48,59,2,2.64,clear sky
32,Berlevag,NO,70.8578,29.0864,35.55,80,0,8.05,clear sky
33,Abeche,TD,13.8292,20.8324,84.16,24,10,6.51,clear sky
34,Porto Torres,IT,40.835,8.3972,66.38,80,32,9.31,scattered clouds
35,Leningradskiy,RU,69.3833,178.4167,13.39,76,58,5.59,broken clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,53.62,63,0,11.99,clear sky
37,Atuona,PF,-9.8,-139.0333,77.16,78,18,17.69,light rain
38,Rikitea,PF,-23.1203,-134.9692,72.25,74,0,5.84,clear sky
39,Tasiilaq,GL,65.6145,-37.6368,28.56,60,3,6.96,clear sky
40,Manokwari,ID,-0.8667,134.0833,79.27,76,98,2.82,moderate rain
41,Ballina,AU,-28.8667,153.5667,64.02,79,8,11.79,clear sky
42,Faanui,PF,-16.4833,-151.75,79.05,72,18,11.16,few clouds
43,Benguela,AO,-12.5763,13.4055,74.21,83,37,5.53,scattered clouds
44,Jamestown,US,42.097,-79.2353,56.84,31,75,11.5,broken clouds
45,Georgetown,MY,5.4112,100.3354,79.23,89,40,6.91,scattered clouds
46,Hobart,AU,-42.8794,147.3294,52.23,81,100,1.99,overcast clouds
47,Gaoual,GN,11.75,-13.2,77.5,86,97,1.92,overcast clouds
48,Mitsamiouli,KM,-11.3847,43.2844,75.13,75,0,5.44,clear sky
49,La Rioja,ES,42.25,-2.5,53.38,57,2,7.54,clear sky
50,Pisco,PE,-13.7,-76.2167,68.05,60,0,16.11,clear sky
51,Raga,SS,8.4596,25.678,75.69,76,89,3.74,light rain
52,Batemans Bay,AU,-35.7167,150.1833,54.1,63,1,3.38,clear sky
53,Mahebourg,MU,-20.4081,57.7,71.89,68,40,14.97,scattered clouds
54,Doka,SD,13.5167,35.7667,78.71,54,4,4.41,clear sky
55,Lavrentiya,RU,65.5833,-171.0,27.54,79,34,4.54,scattered clouds
56,La Ronge,CA,55.1001,-105.2842,46.62,39,75,6.91,broken clouds
57,Yar-Sale,RU,66.8333,70.8333,40.44,89,100,8.88,overcast clouds
58,Baturaja,ID,-4.1333,104.1667,73.38,96,100,1.7,light rain
59,Lagoa,PT,39.05,-27.9833,67.78,76,100,16.78,overcast clouds
60,Airai,TL,-8.9266,125.4092,59.76,86,80,2.04,broken clouds
61,Byron Bay,AU,-28.65,153.6167,63.95,65,6,11.88,clear sky
62,Nikolskoye,RU,59.7035,30.7861,48.09,82,100,7.14,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,61.27,78,20,20.71,few clouds
64,Marsaxlokk,MT,35.8419,14.5431,73.08,73,20,14.97,few clouds
65,Castro,BR,-24.7911,-50.0119,60.13,97,100,5.91,overcast clouds
66,Hamilton,US,39.1834,-84.5333,67.75,20,0,17.27,clear sky
67,Kumano,JP,34.3442,132.5894,59.92,84,4,4.7,clear sky
68,Yellowknife,CA,62.456,-114.3525,36.12,51,75,27.63,broken clouds
69,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,13.73,overcast clouds
70,Aleksandrov Gay,RU,50.147,48.5704,48.52,70,100,6.17,overcast clouds
71,Bahia De Caraquez,EC,-0.6,-80.4167,80.78,74,85,13.18,overcast clouds
72,Maceio,BR,-9.6658,-35.7353,80.04,69,20,12.66,few clouds
73,Kapaa,US,22.0752,-159.319,83.1,82,100,12.66,overcast clouds
74,Conde,BR,-7.2597,-34.9075,80.06,65,0,17.27,clear sky
75,Pacific Grove,US,36.6177,-121.9166,67.21,95,100,9.22,overcast clouds
76,Khatanga,RU,71.9667,102.5,30.51,96,100,17.02,light snow
77,New Norfolk,AU,-42.7826,147.0587,51.89,71,100,3.0,overcast clouds
78,Kupang,ID,-10.1667,123.5833,77.99,84,99,5.99,overcast clouds
79,Jutai,BR,-5.1833,-68.9,80.28,87,98,3.94,moderate rain
80,Bluff,NZ,-46.6,168.3333,56.8,68,2,6.26,clear sky
81,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,96,7.0,overcast clouds
82,Kodiak,US,57.79,-152.4072,47.71,71,100,19.57,overcast clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,0,16.11,clear sky
84,Rio Grande,BR,-32.035,-52.0986,62.71,61,16,16.53,few clouds
85,Vestmannaeyjar,IS,63.4427,-20.2734,40.46,65,8,5.32,clear sky
86,Kahului,US,20.8947,-156.47,87.82,73,40,9.22,scattered clouds
87,Avarua,CK,-21.2078,-159.775,78.85,78,75,10.36,broken clouds
88,Coihaique,CL,-45.5752,-72.0662,57.15,44,0,8.05,clear sky
89,Richards Bay,ZA,-28.783,32.0377,70.63,83,85,11.56,light rain
